|y  |i    |a |r |s0      |s1
|18 |1999 |0 |0 | 123655 | 116416
|18 |1999 |1 |0 | 792367 | 883129
|18 |1999 |2 |0 | 430511 | 536613
|18 |1999 |3 |0 | 245768 | 302470
|19 |2000 |0 |0 | 117292 | 110027
|19 |2000 |1 |0 | 873164 | 929232
|19 |2000 |2 |0 | 457757 | 529300
|19 |2000 |3 |0 | 250738 | 296893
|20 |2001 |0 |0 | 136627 | 111920
|20 |2001 |1 |0 | 885498 | 969677
|20 |2001 |2 |0 | 470268 | 518887
|20 |2001 |3 |0 | 272445 | 330310
|21 |2002 |0 |0 | 132611 | 125136
|21 |2002 |1 |0 | 967426 |1013259
|21 |2002 |2 |0 | 470424 | 536155
|21 |2002 |3 |0 | 278814 | 338671
|22 |2003 |0 |0 | 158414 | 141951
|22 |2003 |1 |0 |1040814 |1060239
|22 |2003 |2 |0 | 452367 | 536960
|22 |2003 |3 |0 | 264826 | 332075
|23 |2004 |0 |0 | 139721 | 128053
|23 |2004 |1 |0 |1025627 |1082513
|23 |2004 |2 |0 | 487860 | 567765
|23 |2004 |3 |0 | 262290 | 305280
|24 |2005 |0 |0 | 158680 | 158032
|24 |2005 |1 |0 |1103016 |1160639
|24 |2005 |2 |0 | 503139 | 576842
|24 |2005 |3 |0 | 267266 | 341538
|25 |2006 |0 |0 | 175225 | 165453
|25 |2006 |1 |0 |1274641 |1237375
|25 |2006 |2 |0 | 515627 | 597814
|25 |2006 |3 |0 | 273254 | 354512
|26 |2007 |0 |0 | 176320 | 196601
|26 |2007 |1 |0 |1430555 |1377936
|26 |2007 |2 |0 | 531524 | 620561
|26 |2007 |3 |0 | 279184 | 360396
|27 |2008 |0 |0 | 185314 | 170242
|27 |2008 |1 |0 |1504243 |1472434
|27 |2008 |2 |0 | 551279 | 626555
|27 |2008 |3 |0 | 285546 | 390506
|28 |2009 |0 |0 | 215599 | 191706
|28 |2009 |1 |0 |1545085 |1528461
|28 |2009 |2 |0 | 566801 | 631867
