Dataset:     Births in England and Wales.
Description: These are numbers of births, by year, for all of England and
             Wales (male and female births combined).
Label i:     Year, relative to 1981 (0=1981).
Label y:     Calendar year.
Label z:     Total births for a given year.

|i |y    |z
|0 |1981 |634492
|1 |1982 |625931
|2 |1983 |629134
|3 |1984 |636818
|4 |1985 |656417
|5 |1986 |661018
|6 |1987 |681511
|7 |1988 |693577
|8 |1989 |687725
|9 |1990 |706140
|10|1991 |699217
|11|1992 |689656
|12|1993 |673467
|13|1994 |664726
|14|1995 |648138
|15|1996 |649485
|16|1997 |643095
|17|1998 |635901
|18|1999 |621872
|19|2000 |604441
|20|2001 |594634
|21|2002 |596122
|22|2003 |621469
|23|2004 |639721
|24|2005 |645835
|25|2006 |669601
|26|2007 |690013
|27|2008 |708711
|28|2009 |706248
