Year	M,0-14	M,15-44	M,45-64	M,65+	F,0-14	F,15-44	F,45-64	F,65+
1981:r=0	21.000000	247.000000	166.000000	83.000000	18.000000	116.000000	70.000000	18.000000	
1981:r=1	1581.000000	5766.000000	2420.000000	1203.000000	1446.000000	4471.000000	1845.000000	1312.000000	
1981:r=2	4.000000	37.000000	12.000000	2.000000	8.000000	33.000000	2.000000	0.000000	
1982:r=0	28.000000	348.000000	273.000000	128.000000	28.000000	217.000000	82.000000	27.000000	
1982:r=1	804.000000	3859.000000	1835.000000	911.000000	780.000000	2499.000000	977.000000	501.000000	
1982:r=2	6.000000	84.000000	20.000000	2.000000	5.000000	85.000000	4.000000	5.000000	
1983:r=0	32.000000	437.000000	313.000000	130.000000	25.000000	260.000000	132.000000	44.000000	
1983:r=1	410.000000	2421.000000	1417.000000	829.000000	372.000000	1482.000000	576.000000	317.000000	
1983:r=2	13.000000	152.000000	22.000000	2.000000	13.000000	116.000000	11.000000	2.000000	
1984:r=0	37.000000	468.000000	336.000000	146.000000	22.000000	286.000000	134.000000	41.000000	
1984:r=1	195.000000	1611.000000	1128.000000	853.000000	196.000000	921.000000	426.000000	262.000000	
1984:r=2	11.000000	163.000000	29.000000	6.000000	18.000000	109.000000	10.000000	4.000000	
1985:r=0	39.000000	416.000000	347.000000	138.000000	21.000000	366.000000	113.000000	45.000000	
1985:r=1	116.000000	1098.000000	993.000000	839.000000	104.000000	636.000000	289.000000	241.000000	
1985:r=2	6.000000	164.000000	23.000000	7.000000	13.000000	116.000000	10.000000	0.000000	
1986:r=0	32.000000	452.000000	374.000000	151.000000	24.000000	414.000000	139.000000	52.000000	
1986:r=1	69.000000	890.000000	902.000000	794.000000	62.000000	527.000000	261.000000	246.000000	
1986:r=2	14.000000	160.000000	15.000000	1.000000	12.000000	103.000000	7.000000	2.000000	
1987:r=0	26.000000	478.000000	415.000000	157.000000	31.000000	404.000000	159.000000	51.000000	
1987:r=1	56.000000	783.000000	823.000000	792.000000	41.000000	412.000000	212.000000	222.000000	
1987:r=2	9.000000	167.000000	22.000000	5.000000	11.000000	124.000000	12.000000	0.000000	
1988:r=0	29.000000	448.000000	376.000000	166.000000	27.000000	440.000000	150.000000	49.000000	
1988:r=1	34.000000	671.000000	776.000000	768.000000	41.000000	338.000000	182.000000	178.000000	
1988:r=2	16.000000	135.000000	16.000000	9.000000	15.000000	81.000000	15.000000	2.000000	
1989:r=0	28.000000	457.000000	362.000000	183.000000	19.000000	442.000000	147.000000	78.000000	
1989:r=1	36.000000	589.000000	715.000000	766.000000	19.000000	304.000000	188.000000	218.000000	
1989:r=2	10.000000	171.000000	25.000000	7.000000	17.000000	98.000000	19.000000	2.000000	
1990:r=0	35.000000	491.000000	355.000000	187.000000	47.000000	471.000000	164.000000	64.000000	
1990:r=1	32.000000	546.000000	709.000000	807.000000	24.000000	278.000000	142.000000	199.000000	
1990:r=2	8.000000	178.000000	26.000000	9.000000	14.000000	87.000000	22.000000	3.000000	
1991:r=0	34.000000	549.000000	357.000000	213.000000	31.000000	464.000000	181.000000	62.000000	
1991:r=1	31.000000	452.000000	697.000000	763.000000	31.000000	250.000000	152.000000	191.000000	
1991:r=2	7.000000	175.000000	10.000000	6.000000	14.000000	126.000000	18.000000	1.000000	
1992:r=0	13.000000	467.000000	330.000000	197.000000	29.000000	424.000000	208.000000	63.000000	
1992:r=1	27.000000	486.000000	677.000000	791.000000	26.000000	217.000000	172.000000	164.000000	
1992:r=2	10.000000	139.000000	19.000000	4.000000	8.000000	81.000000	22.000000	3.000000	
1993:r=0	22.000000	386.000000	358.000000	163.000000	30.000000	443.000000	156.000000	51.000000	
1993:r=1	13.000000	442.000000	598.000000	718.000000	17.000000	192.000000	158.000000	165.000000	
1993:r=2	13.000000	109.000000	24.000000	6.000000	8.000000	103.000000	12.000000	3.000000	
1994:r=0	25.000000	451.000000	331.000000	179.000000	30.000000	466.000000	135.000000	45.000000	
1994:r=1	16.000000	426.000000	587.000000	674.000000	24.000000	207.000000	143.000000	187.000000	
1994:r=2	9.000000	142.000000	33.000000	3.000000	7.000000	110.000000	11.000000	4.000000	
1995:r=0	34.000000	451.000000	308.000000	157.000000	11.000000	516.000000	152.000000	43.000000	
1995:r=1	21.000000	365.000000	560.000000	683.000000	14.000000	183.000000	149.000000	170.000000	
1995:r=2	9.000000	144.000000	28.000000	5.000000	8.000000	135.000000	10.000000	3.000000	
1996:r=0	22.000000	486.000000	387.000000	180.000000	13.000000	502.000000	177.000000	50.000000	
1996:r=1	27.000000	364.000000	525.000000	661.000000	14.000000	187.000000	139.000000	166.000000	
1996:r=2	4.000000	157.000000	40.000000	7.000000	5.000000	107.000000	16.000000	5.000000	
1997:r=0	31.000000	599.000000	420.000000	187.000000	27.000000	538.000000	199.000000	60.000000	
1997:r=1	14.000000	376.000000	533.000000	660.000000	11.000000	207.000000	117.000000	144.000000	
1997:r=2	10.000000	170.000000	32.000000	11.000000	9.000000	93.000000	9.000000	1.000000	
1998:r=0	20.000000	707.000000	328.000000	202.000000	37.000000	476.000000	175.000000	59.000000	
1998:r=1	15.000000	359.000000	527.000000	661.000000	16.000000	189.000000	130.000000	194.000000	
1998:r=2	6.000000	178.000000	33.000000	7.000000	15.000000	196.000000	12.000000	1.000000	
