Dataset:      Probabilities of age classes for immigrants (version 0).
Description:  These are probabilities of falling into one of six age classes,
              for immigrants entering England and Wales for each year, by
              sex and region of birth. For this version (model version SSAV=0),
              region of birth is UK or non-UK.
Label r:      Region of birth, 0=Non-UK, 1=UK.
Label s:      Sex, 0=male, 1=female.
Label a:      Age class.
              0=<15
              1=15-24
              2=25-34
              3=35-44
              4=45-59
              5=60+

|r|s|y |a0   |a1   |a2   |a3   |a4   |a5
|0|0|0 |0.210|0.306|0.251|0.133|0.084|0.017
|0|0|1 |0.321|0.306|0.224|0.085|0.058|0.009
|0|0|2 |0.288|0.276|0.239|0.139|0.046|0.014
|0|0|3 |0.199|0.345|0.296|0.064|0.059|0.037
|0|0|4 |0.228|0.280|0.253|0.123|0.090|0.023
|0|0|5 |0.194|0.348|0.273|0.099|0.080|0.004
|0|0|6 |0.211|0.359|0.215|0.126|0.060|0.027
|0|0|7 |0.183|0.271|0.336|0.134|0.063|0.013
|0|0|8 |0.196|0.306|0.298|0.117|0.065|0.021
|0|0|9 |0.156|0.329|0.330|0.128|0.048|0.011
|0|0|10|0.190|0.340|0.321|0.097|0.043|0.009
|0|0|11|0.185|0.304|0.343|0.111|0.045|0.010
|0|0|12|0.185|0.336|0.249|0.152|0.061|0.012
|0|0|13|0.161|0.304|0.306|0.128|0.058|0.041
|0|0|14|0.119|0.358|0.285|0.154|0.072|0.011
|0|0|15|0.103|0.380|0.320|0.150|0.028|0.018
|0|0|16|0.127|0.423|0.289|0.089|0.054|0.019
|0|0|17|0.121|0.354|0.392|0.078|0.042|0.012
|0|0|18|0.110|0.330|0.409|0.103|0.041|0.005
|0|0|19|0.074|0.336|0.383|0.133|0.060|0.015
|0|0|20|0.096|0.329|0.389|0.119|0.062|0.005
|0|0|21|0.068|0.395|0.375|0.132|0.024|0.006
|0|0|22|0.071|0.427|0.336|0.110|0.053|0.004
|0|0|23|0.061|0.378|0.350|0.162|0.039|0.009
|0|0|24|0.032|0.391|0.377|0.142|0.043|0.015
|0|0|25|0.049|0.357|0.406|0.119|0.046|0.023
|0|0|26|0.061|0.358|0.362|0.152|0.061|0.006
|0|0|27|0.038|0.331|0.438|0.119|0.056|0.019
|0|0|28|0.050|0.401|0.365|0.121|0.044|0.019
|0|1|0 |0.211|0.373|0.281|0.074|0.032|0.030
|0|1|1 |0.242|0.407|0.229|0.066|0.046|0.011
|0|1|2 |0.212|0.374|0.257|0.110|0.043|0.006
|0|1|3 |0.214|0.389|0.265|0.095|0.033|0.005
|0|1|4 |0.185|0.443|0.225|0.088|0.031|0.025
|0|1|5 |0.184|0.378|0.271|0.122|0.024|0.019
|0|1|6 |0.176|0.434|0.254|0.080|0.028|0.028
|0|1|7 |0.149|0.398|0.212|0.160|0.052|0.029
|0|1|8 |0.204|0.347|0.280|0.095|0.056|0.018
|0|1|9 |0.123|0.416|0.293|0.117|0.034|0.018
|0|1|10|0.208|0.355|0.283|0.077|0.071|0.005
|0|1|11|0.137|0.382|0.293|0.129|0.039|0.019
|0|1|12|0.161|0.485|0.225|0.098|0.022|0.011
|0|1|13|0.114|0.470|0.280|0.086|0.039|0.011
|0|1|14|0.092|0.499|0.268|0.091|0.040|0.011
|0|1|15|0.115|0.489|0.275|0.086|0.020|0.015
|0|1|16|0.125|0.591|0.194|0.061|0.017|0.013
|0|1|17|0.079|0.470|0.310|0.095|0.033|0.012
|0|1|18|0.070|0.473|0.341|0.090|0.019|0.009
|0|1|19|0.070|0.454|0.334|0.082|0.052|0.007
|0|1|20|0.076|0.432|0.334|0.090|0.052|0.016
|0|1|21|0.073|0.354|0.427|0.068|0.058|0.021
|0|1|22|0.068|0.496|0.303|0.083|0.031|0.018
|0|1|23|0.027|0.416|0.395|0.087|0.045|0.029
|0|1|24|0.037|0.465|0.378|0.091|0.023|0.006
|0|1|25|0.072|0.429|0.335|0.118|0.044|0.003
|0|1|26|0.068|0.428|0.388|0.070|0.028|0.019
|0|1|27|0.049|0.404|0.337|0.134|0.050|0.027
|0|1|28|0.059|0.423|0.367|0.104|0.042|0.005
|1|0|0 |0.200|0.279|0.293|0.100|0.066|0.062
|1|0|1 |0.208|0.181|0.315|0.181|0.064|0.048
|1|0|2 |0.165|0.225|0.215|0.252|0.084|0.057
|1|0|3 |0.275|0.097|0.314|0.206|0.069|0.036
|1|0|4 |0.250|0.213|0.163|0.198|0.115|0.063
|1|0|5 |0.159|0.188|0.254|0.178|0.159|0.064
|1|0|6 |0.097|0.176|0.270|0.244|0.171|0.042
|1|0|7 |0.200|0.152|0.277|0.223|0.106|0.039
|1|0|8 |0.209|0.174|0.246|0.200|0.094|0.074
|1|0|9 |0.185|0.152|0.322|0.167|0.106|0.068
|1|0|10|0.151|0.269|0.263|0.169|0.097|0.054
|1|0|11|0.152|0.129|0.256|0.210|0.218|0.037
|1|0|12|0.123|0.200|0.303|0.160|0.163|0.057
|1|0|13|0.164|0.164|0.316|0.155|0.155|0.045
|1|0|14|0.205|0.205|0.257|0.156|0.159|0.021
|1|0|15|0.086|0.125|0.327|0.183|0.172|0.111
|1|0|16|0.150|0.231|0.256|0.221|0.093|0.050
|1|0|17|0.056|0.253|0.400|0.191|0.069|0.034
|1|0|18|0.113|0.133|0.366|0.206|0.120|0.064
|1|0|19|0.063|0.185|0.299|0.180|0.153|0.117
|1|0|20|0.089|0.147|0.354|0.178|0.106|0.125
|1|0|21|0.087|0.107|0.377|0.267|0.096|0.067
|1|0|22|0.123|0.162|0.304|0.190|0.148|0.073
|1|0|23|0.123|0.144|0.317|0.211|0.123|0.085
|1|0|24|0.076|0.307|0.216|0.190|0.138|0.076
|1|0|25|0.219|0.086|0.262|0.287|0.115|0.032
|1|0|26|0.056|0.139|0.327|0.239|0.131|0.108
|1|0|27|0.049|0.152|0.320|0.210|0.181|0.087
|1|0|28|0.086|0.200|0.244|0.247|0.116|0.104
|1|1|0 |0.197|0.286|0.218|0.156|0.095|0.048
|1|1|1 |0.241|0.215|0.259|0.218|0.062|0.005
|1|1|2 |0.152|0.101|0.381|0.148|0.109|0.105
|1|1|3 |0.218|0.321|0.225|0.130|0.075|0.028
