Dataset:     Probabilities of immigrant ages (version 1).
Description: These are probabilities immigrants entering England and Wales
             fall into the six age classes, by year, sex, and region of birth.
             For this version (for model version SSAV=1), there are three
             levels for region of birth (UK, non-UK, SSA).
Label r:     Region of birth, 0=Non-UK(non-SSA), 1=UK, 2=SSA.
Label s:     Sex, 0=male, 1=female.
Label y:     Year, relative to 1981, used for array indices.
Label a:     Age class.
             0=<15
             1=15-24
             2=25-34
             3=35-44
             4=45-59
             5=60+

|r |s |y  |a0    |a1    |a2    |a3    |a4    |a5
|0 |0 | 0 |0.220 |0.318 |0.239 |0.127 |0.077 |0.017
|0 |0 | 1 |0.337 |0.312 |0.210 |0.073 |0.064 |0.008
|0 |0 | 2 |0.303 |0.288 |0.226 |0.120 |0.051 |0.015
|0 |0 | 3 |0.204 |0.365 |0.259 |0.068 |0.066 |0.040
|0 |0 | 4 |0.227 |0.299 |0.229 |0.116 |0.103 |0.026
|0 |0 | 5 |0.199 |0.358 |0.260 |0.087 |0.090 |0.005
|0 |0 | 6 |0.207 |0.366 |0.209 |0.123 |0.064 |0.028
|0 |0 | 7 |0.176 |0.283 |0.342 |0.126 |0.068 |0.005
|0 |0 | 8 |0.215 |0.278 |0.302 |0.112 |0.069 |0.025
|0 |0 | 9 |0.164 |0.327 |0.322 |0.131 |0.048 |0.010
|0 |0 |10 |0.189 |0.337 |0.329 |0.090 |0.043 |0.010
|0 |0 |11 |0.166 |0.314 |0.348 |0.114 |0.043 |0.011
|0 |0 |12 |0.187 |0.356 |0.248 |0.137 |0.051 |0.013
|0 |0 |13 |0.172 |0.283 |0.305 |0.133 |0.061 |0.045
|0 |0 |14 |0.118 |0.362 |0.284 |0.152 |0.071 |0.011
|0 |0 |15 |0.106 |0.385 |0.320 |0.145 |0.029 |0.014
|0 |0 |16 |0.136 |0.401 |0.302 |0.089 |0.052 |0.020
|0 |0 |17 |0.117 |0.358 |0.397 |0.076 |0.040 |0.012
|0 |0 |18 |0.114 |0.323 |0.435 |0.088 |0.035 |0.005
|0 |0 |19 |0.083 |0.351 |0.361 |0.135 |0.054 |0.016
|0 |0 |20 |0.093 |0.312 |0.424 |0.116 |0.049 |0.006
|0 |0 |21 |0.077 |0.354 |0.397 |0.141 |0.026 |0.006
|0 |0 |22 |0.072 |0.421 |0.346 |0.119 |0.038 |0.004
|0 |0 |23 |0.068 |0.363 |0.370 |0.164 |0.030 |0.003
|0 |0 |24 |0.031 |0.395 |0.377 |0.144 |0.038 |0.016
|0 |0 |25 |0.051 |0.348 |0.412 |0.124 |0.041 |0.024
|0 |0 |26 |0.047 |0.375 |0.361 |0.151 |0.063 |0.005
|0 |0 |27 |0.040 |0.332 |0.446 |0.118 |0.043 |0.020
|0 |0 |28 |0.050 |0.413 |0.360 |0.116 |0.044 |0.019
|0 |1 | 0 |0.214 |0.370 |0.291 |0.059 |0.033 |0.033
|0 |1 | 1 |0.227 |0.429 |0.230 |0.052 |0.054 |0.011
|0 |1 | 2 |0.205 |0.367 |0.257 |0.122 |0.048 |0.008
|0 |1 | 3 |0.192 |0.418 |0.251 |0.100 |0.033 |0.006
|0 |1 | 4 |0.175 |0.485 |0.194 |0.085 |0.032 |0.026
|0 |1 | 5 |0.171 |0.384 |0.270 |0.127 |0.027 |0.020
|0 |1 | 6 |0.168 |0.459 |0.240 |0.082 |0.022 |0.029
|0 |1 | 7 |0.128 |0.413 |0.214 |0.165 |0.051 |0.032
|0 |1 | 8 |0.188 |0.362 |0.288 |0.089 |0.054 |0.020
|0 |1 | 9 |0.117 |0.424 |0.291 |0.115 |0.035 |0.019
|0 |1 |10 |0.210 |0.371 |0.285 |0.069 |0.060 |0.004
|0 |1 |11 |0.127 |0.381 |0.300 |0.136 |0.036 |0.020
|0 |1 |12 |0.163 |0.489 |0.229 |0.094 |0.020 |0.008
|0 |1 |13 |0.112 |0.485 |0.278 |0.081 |0.033 |0.009
|0 |1 |14 |0.096 |0.515 |0.247 |0.094 |0.039 |0.010
|0 |1 |15 |0.108 |0.489 |0.277 |0.089 |0.020 |0.015
|0 |1 |16 |0.112 |0.603 |0.203 |0.053 |0.017 |0.013
|0 |1 |17 |0.077 |0.441 |0.335 |0.098 |0.034 |0.015
