Written by 'FileIO' as file 'immage1o.txt'
|y|r|s|a0|a1|a2|a3|a4|a5
|0|0|0|0.22|0.318|0.239|0.127|0.077|0.017
|0|0|1|0.214|0.37|0.291|0.059|0.033|0.033
|0|1|0|0.2|0.279|0.293|0.1|0.066|0.062
|0|1|1|0.197|0.286|0.218|0.156|0.095|0.048
|0|2|0|0.122|0.204|0.347|0.184|0.143|0.02
|0|2|1|0.178|0.4|0.178|0.222|0.022|0
|1|0|0|0.337|0.312|0.21|0.073|0.064|0.008
|1|0|1|0.227|0.429|0.23|0.052|0.054|0.011
|1|1|0|0.208|0.181|0.315|0.181|0.064|0.048
|1|1|1|0.241|0.215|0.259|0.218|0.062|0.005
|1|2|0|0.197|0.258|0.333|0.182|0.015|0.015
|1|2|1|0.329|0.278|0.228|0.152|0|0.013
|2|0|0|0.303|0.288|0.226|0.12|0.051|0.015
|2|0|1|0.205|0.367|0.257|0.122|0.048|0.008
|2|1|0|0.165|0.225|0.215|0.252|0.084|0.057
|2|1|1|0.152|0.101|0.381|0.148|0.109|0.105
|2|2|0|0.218|0.218|0.297|0.228|0.02|0.01
|2|2|1|0.25|0.407|0.259|0.056|0.019|0
|3|0|0|0.204|0.365|0.259|0.068|0.066|0.04
|3|0|1|0.192|0.418|0.251|0.1|0.033|0.006
|3|1|0|0.275|0.097|0.314|0.206|0.069|0.036
|3|1|1|0.218|0.321|0.225|0.13|0.075|0.028
|3|2|0|0.164|0.205|0.548|0.041|0.014|0.014
|3|2|1|0.362|0.188|0.362|0.058|0.029|0
|4|0|0|0.227|0.299|0.229|0.116|0.103|0.026
|4|0|1|0.175|0.485|0.194|0.085|0.032|0.026
|4|1|0|0.25|0.213|0.163|0.198|0.115|0.063
|4|1|1|0.184|0.204|0.156|0.34|0.05|0.07
|4|2|0|0.238|0.143|0.429|0.175|0|0
|4|2|1|0.267|0.093|0.488|0.116|0.023|0.012
|5|0|0|0.199|0.358|0.26|0.087|0.09|0.005
|5|0|1|0.171|0.384|0.27|0.127|0.027|0.02
|5|1|0|0.159|0.188|0.254|0.178|0.159|0.064
|5|1|1|0.138|0.309|0.254|0.178|0.101|0.022
|5|2|0|0.157|0.277|0.373|0.193|0|0
|5|2|1|0.339|0.306|0.274|0.065|0|0.016
|6|0|0|0.207|0.366|0.209|0.123|0.064|0.028
|6|0|1|0.168|0.459|0.24|0.082|0.022|0.029
|6|1|0|0.097|0.176|0.27|0.244|0.171|0.042
|6|1|1|0.157|0.22|0.351|0.152|0.092|0.029
|6|2|0|0.246|0.295|0.262|0.148|0.033|0.016
|6|2|1|0.263|0.175|0.404|0.053|0.088|0.018
|7|0|0|0.176|0.283|0.342|0.126|0.068|0.005
|7|0|1|0.128|0.413|0.214|0.165|0.051|0.032
|7|1|0|0.2|0.152|0.277|0.223|0.106|0.039
|7|1|1|0.175|0.342|0.269|0.099|0.078|0.037
|7|2|0|0.275|0.118|0.255|0.235|0|0.118
|7|2|1|0.404|0.213|0.191|0.106|0.064|0
|8|0|0|0.215|0.278|0.302|0.112|0.069|0.025
|8|0|1|0.188|0.362|0.288|0.089|0.054|0.02
|8|1|0|0.209|0.174|0.246|0.2|0.094|0.074
|8|1|1|0.148|0.338|0.243|0.144|0.056|0.071
|8|2|0|0.088|0.461|0.275|0.147|0.039|0
|8|2|1|0.384|0.178|0.192|0.164|0.082|0
|9|0|0|0.164|0.327|0.322|0.131|0.048|0.01
|9|0|1|0.117|0.424|0.291|0.115|0.035|0.019
|9|1|0|0.185|0.152|0.322|0.167|0.106|0.068
|9|1|1|0.178|0.292|0.262|0.164|0.085|0.022
|9|2|0|0.076|0.342|0.405|0.101|0.051|0.013
|9|2|1|0.21|0.306|0.323|0.145|0.016|0
|10|0|0|0.189|0.337|0.329|0.09|0.043|0.01
|10|0|1|0.21|0.371|0.285|0.069|0.06|0.004
|10|1|0|0.151|0.269|0.263|0.169|0.097|0.054
|10|1|1|0.164|0.316|0.29|0.075|0.106|0.049
|10|2|0|0.191|0.368|0.25|0.162|0.044|0
|10|2|1|0.185|0.169|0.262|0.169|0.2|0.015
|11|0|0|0.166|0.314|0.348|0.114|0.043|0.011
|11|0|1|0.127|0.381|0.3|0.136|0.036|0.02
|11|1|0|0.152|0.129|0.256|0.21|0.218|0.037
|11|1|1|0.12|0.345|0.262|0.086|0.169|0.02
|11|2|0|0.375|0.208|0.292|0.083|0.063|0
|11|2|1|0.255|0.392|0.216|0.059|0.078|0
|12|0|0|0.187|0.356|0.248|0.137|0.051|0.013
|12|0|1|0.163|0.489|0.229|0.094|0.02|0.008
|12|1|0|0.123|0.2|0.303|0.16|0.163|0.057
|12|1|1|0.15|0.243|0.27|0.195|0.104|0.037
|12|2|0|0.163|0.122|0.265|0.306|0.163|0
|12|2|1|0.14|0.44|0.18|0.14|0.04|0.04
|13|0|0|0.172|0.283|0.305|0.133|0.061|0.045
|13|0|1|0.112|0.485|0.278|0.081|0.033|0.009
|13|1|0|0.164|0.164|0.316|0.155|0.155|0.045
|13|1|1|0.117|0.229|0.429|0.144|0.061|0.022
|13|2|0|0.075|0.475|0.313|0.088|0.038|0.013
|13|2|1|0.125|0.333|0.292|0.139|0.097|0.028
|14|0|0|0.118|0.362|0.284|0.152|0.071|0.011
|14|0|1|0.096|0.515|0.247|0.094|0.039|0.01
|14|1|0|0.205|0.205|0.257|0.156|0.159|0.021
|14|1|1|0.043|0.257|0.426|0.145|0.112|0.013
|14|2|0|0.127|0.302|0.302|0.175|0.079|0
|14|2|1|0.054|0.304|0.518|0.054|0.054|0.018
|15|0|0|0.106|0.385|0.32|0.145|0.029|0.014
|15|0|1|0.108|0.489|0.277|0.089|0.02|0.015
|15|1|0|0.086|0.125|0.327|0.183|0.172|0.111
|15|1|1|0.09|0.243|0.295|0.194|0.156|0.023
|15|2|0|0.067|0.317|0.317|0.217|0.017|0.067
|15|2|1|0.172|0.495|0.258|0.054|0.022|0.011
|16|0|0|0.136|0.401|0.302|0.089|0.052|0.02
|16|0|1|0.112|0.603|0.203|0.053|0.017|0.013
|16|1|0|0.15|0.231|0.256|0.221|0.093|0.05
|16|1|1|0.191|0.18|0.36|0.117|0.094|0.057
|16|2|0|0.037|0.642|0.16|0.086|0.074|0
|16|2|1|0.311|0.426|0.066|0.164|0.016|0.016
|17|0|0|0.117|0.358|0.397|0.076|0.04|0.012
|17|0|1|0.077|0.441|0.335|0.098|0.034|0.015
|17|1|0|0.056|0.253|0.4|0.191|0.069|0.034
|17|1|1|0.218|0.146|0.45|0.102|0.052|0.03
|17|2|0|0.167|0.311|0.344|0.1|0.067|0.011
|17|2|1|0.088|0.624|0.177|0.083|0.028|0
|18|0|0|0.114|0.323|0.435|0.088|0.035|0.005
|18|0|1|0.072|0.497|0.334|0.077|0.015|0.008
|18|1|0|0.113|0.133|0.366|0.206|0.12|0.064
|18|1|1|0.089|0.214|0.347|0.228|0.078|0.042
|18|2|0|0.089|0.374|0.257|0.196|0.078|0.006
|18|2|1|0.063|0.362|0.376|0.154|0.036|0.014
|19|0|0|0.083|0.351|0.361|0.135|0.054|0.016
|19|0|1|0.072|0.487|0.298|0.087|0.051|0.005
|19|1|0|0.063|0.185|0.299|0.18|0.153|0.117
|19|1|1|0.091|0.243|0.246|0.34|0.054|0.029
|19|2|0|0.017|0.237|0.526|0.121|0.092|0.006
|19|2|1|0.056|0.296|0.512|0.061|0.056|0.019
|20|0|0|0.093|0.312|0.424|0.116|0.049|0.006
|20|0|1|0.072|0.453|0.345|0.081|0.034|0.015
|20|1|0|0.089|0.147|0.354|0.178|0.106|0.125
|20|1|1|0.059|0.205|0.392|0.277|0.067|0
|20|2|0|0.112|0.417|0.199|0.141|0.131|0
|20|2|1|0.103|0.286|0.263|0.154|0.171|0.023
|21|0|0|0.077|0.354|0.397|0.141|0.026|0.006
|21|0|1|0.055|0.369|0.465|0.048|0.044|0.021
|21|1|0|0.087|0.107|0.377|0.267|0.096|0.067
|21|1|1|0.071|0.32|0.311|0.136|0.074|0.084
|21|2|0|0.032|0.559|0.289|0.098|0.013|0.01
|21|2|1|0.162|0.282|0.241|0.166|0.129|0.021
|22|0|0|0.072|0.421|0.346|0.119|0.038|0.004
|22|0|1|0.069|0.509|0.295|0.092|0.022|0.013
|22|1|0|0.123|0.162|0.304|0.19|0.148|0.073
|22|1|1|0.074|0.159|0.252|0.218|0.248|0.051
|22|2|0|0.065|0.455|0.294|0.071|0.115|0
|22|2|1|0.063|0.431|0.344|0.04|0.079|0.043
|23|0|0|0.068|0.363|0.37|0.164|0.03|0.003
|23|0|1|0.028|0.411|0.415|0.08|0.037|0.028
|23|1|0|0.123|0.144|0.317|0.211|0.123|0.085
