Dataset:     New version of inf1981.txt, altered to give SSA-born different
             probabilities for disease states (+). In the original versions, SSA-
             born and ONUK-born had the same probabilities. This is the first
             'new' version (there may be subsequent ones).
Description: This inf1981.txt file specifies the probabilities of various diseas
             for migrants upon entry to the UK.
Label a:     Age in years
Label s:     Sex, 0=male, 1=female
Label r:     Region of birth, 0=ONUK-born, 1=UK-born, 2=SSA-born
Label y:     Array index for year (0=1981)
Label q:     Disease state, cumlative probabilities where 0=Always 0,
             1=Uninfected, 2=Immune, 3=Recent Infection, 4=Latent Infection,
             5=Reinfection, 6=Primary Disease, 7=Reactivation Disease,
             8=Reinfection Disease

|a   |s |r |q1         |q2         |q3         |q4         |q5         |q6         |q7         |q8
|  0 |0 |0 |0.99683675 |0.99683675 |0.99933639 |0.99933639 |0.99933639 |1.         |1.         |1.
|  1 |0 |0 |0.99053524 |0.99053524 |0.99933639 |0.99933639 |0.99933639 |1.         |1.         |1.
|  2 |0 |0 |0.98427358 |0.98427358 |0.99933639 |0.99933639 |0.99933639 |1.         |1.         |1.
|  3 |0 |0 |0.9780515  |0.9780515  |0.99933639 |0.99933639 |0.99933639 |1.         |1.         |1.
|  4 |0 |0 |0.97186874 |0.97186874 |0.99933639 |0.99933639 |0.99933639 |1.         |1.         |1.
|  5 |0 |0 |0.96572508 |0.96572508 |0.99617367 |0.99932426 |0.99933639 |0.99999946 |0.99999961 |1.
|  6 |0 |0 |0.95962025 |0.95962025 |0.98987427 |0.99927537 |0.99933639 |0.99999736 |0.99999853 |1.
|  7 |0 |0 |0.95355401 |0.95355401 |0.98361551 |0.9991871  |0.99933639 |0.99999446 |0.99999712 |1.
|  8 |0 |0 |0.94752612 |0.94752612 |0.97739673 |0.99905959 |0.99933639 |0.99999115 |0.9999955  |1.
|  9 |0 |0 |0.94153634 |0.94153634 |0.97121754 |0.99889303 |0.99933639 |0.9999876  |0.99999372 |1.
| 10 |0 |0 |0.93558442 |0.93558442 |0.96507757 |0.99870024 |0.99933639 |0.9999839  |0.99999172 |1.
| 11 |0 |0 |0.92967012 |0.92967012 |0.95897664 |0.99850671 |0.99933639 |0.99998    |0.9999892  |1.
| 12 |0 |0 |0.92379322 |0.92379322 |0.95291428 |0.99831441 |0.99933639 |0.99997612 |0.9999867  |1.
| 13 |0 |0 |0.91795346 |0.91795346 |0.94689024 |0.99812332 |0.99933639 |0.99997227 |0.9999842  |1.
| 14 |0 |0 |0.91215062 |0.91215062 |0.94090429 |0.99793344 |0.99933639 |0.99996843 |0.99998173 |1.
| 15 |0 |0 |0.90638446 |0.90638446 |0.93495618 |0.99774477 |0.99933639 |0.99996462 |0.99997926 |1.
| 16 |0 |0 |0.90065475 |0.90065475 |0.92904568 |0.99755729 |0.99933639 |0.99996083 |0.99997681 |1.
