Description: This is a version of the input file 'infimm1.txt'`used with the
             TB`IBM.`It specifies the probabilities of various disease states
             for migrants upon entry to the UK.`This version is ARImed,`
             and was constructed using the ARI`method for 'infimm',`using
             mid-value ARIs`for ONUK,`UK,`and SSA-born.
             for UK-born.
Label a:     Age in years
Label s:`    Sex, 0=male, 1=female
Label r:`    Region of birth, 0=ONUK-born, 1=UK-born, 2=SSA-born
Label y:`    Array index for year (0=1981)
Label q:`    Disease state, cumlative`probabilities where 0=Always 0,
             1=Uninfected, 2=Immune, 3=Recent Infection, 4=Latent Infection,
             5=Reinfection, 6=Primary Disease, 7=Reactivation Disease,
             8=Reinfection Disease

|a   |s |r |y  |q0 |q1          |q2          |q3          |q4          |q5          |q6          |q7          |q8
|  0 |0 |0 | 0 | 0 |0.996602109 |0.996602109 |0.996602109 |0.996602109 |0.996602109 |1.          |1.          | 1
|  1 |0 |0 | 0 | 0 |0.98983518  |0.98983518  |0.994146732 |0.994146732 |0.994146732 |1.          |1.          | 1
|  2 |0 |0 | 0 | 0 |0.983114199 |0.983114199 |0.994146732 |0.994146732 |0.994146732 |1.          |1.          | 1
|  3 |0 |0 | 0 | 0 |0.976438854 |0.976438854 |0.994146732 |0.994146732 |0.994146732 |1.          |1.          | 1
|  4 |0 |0 | 0 | 0 |0.969808834 |0.969808834 |0.994146732 |0.994146732 |0.994146732 |1.          |1.          | 1
|  5 |0 |0 | 0 | 0 |0.963223832 |0.963223832 |0.99075385  |0.994135973 |0.994146732 |0.999994991 |0.999996312 | 1
|  6 |0 |0 | 0 | 0 |0.956683542 |0.956683542 |0.984006165 |0.994088559 |0.994146732 |0.999975748 |0.999986077 | 1
|  7 |0 |0 | 0 | 0 |0.950187661 |0.950187661 |0.977311773 |0.993998519 |0.994146732 |0.999949159 |0.999972676 | 1
|  8 |0 |0 | 0 | 0 |0.943735887 |0.943735887 |0.970666676 |0.99386498  |0.994146732 |0.99991891  |0.999957293 | 1
|  9 |0 |0 | 0 | 0 |0.93732792  |0.93732792  |0.964069214 |0.993687812 |0.994146732 |0.999886352 |0.999940368 | 1
| 10 |0 |0 | 0 | 0 |0.930963464 |0.930963464 |0.957518172 |0.993482237 |0.994146732 |0.999852393 |0.999921433 | 1
| 11 |0 |0 | 0 | 0 |0.924642222 |0.924642222 |0.951013949 |0.993280299 |0.994146732 |0.999816326 |0.999897503 | 1
| 12 |0 |0 | 0 | 0 |0.918363901 |0.918363901 |0.944553924 |0.993079755 |0.994146732 |0.99978047  |0.999873713 | 1
| 13 |0 |0 | 0 | 0 |0.91212821  |0.91212821  |0.938137795 |0.992880595 |0.994146732 |0.999744824 |0.999850062 | 1
| 14 |0 |0 | 0 | 0 |0.90593486  |0.90593486  |0.931765265 |0.992682809 |0.994146732 |0.999709388 |0.999826551 | 1
| 15 |0 |0 | 0 | 0 |0.899783562 |0.899783562 |0.925436036 |0.992486387 |0.994146732 |0.99967416  |0.999803177 | 1
| 16 |0 |0 | 0 | 0 |0.893674032 |0.893674032 |0.919149816 |0.99229132  |0.994146732 |0.999639139 |0.999779941 | 1
| 17 |0 |0 | 0 | 0 |0.887605985 |0.887605985 |0.91290631  |0.992097599 |0.994146732 |0.999604323 |0.999756841 | 1
| 18 |0 |0 | 0 | 0 |0.88157914  |0.88157914  |0.906705229 |0.991905214 |0.994146732 |0.999569713 |0.999733878 | 1
| 19 |0 |0 | 0 | 0 |0.875593218 |0.875593218 |0.900546285 |0.991714156 |0.994146732 |0.999535307 |0.99971105  | 1
| 20 |0 |0 | 0 | 0 |0.86964794  |0.86964794  |0.89442919  |0.991524415 |0.994146732 |0.999501104 |0.999688356 | 1
| 21 |0 |0 | 0 | 0 |0.86374303  |0.86374303  |0.88835366  |0.991335983 |0.994146732 |0.999467104 |0.999665797 | 1
| 22 |0 |0 | 0 | 0 |0.857878215 |0.857878215 |0.882319414 |0.99114885  |0.994146732 |0.999433304 |0.999643371 | 1
| 23 |0 |0 | 0 | 0 |0.852053222 |0.852053222 |0.876326169 |0.990963007 |0.994146732 |0.999399704 |0.999621078 | 1
| 24 |0 |0 | 0 | 0 |0.846267781 |0.846267781 |0.870373647 |0.990778446 |0.994146732 |0.999366303 |0.999598917 | 1
| 25 |0 |0 | 0 | 0 |0.840320504 |0.840320504 |0.864254647 |0.990588741 |0.994146732 |0.999331938 |0.999576115 | 1
| 26 |0 |0 | 0 | 0 |0.833759246 |0.833759246 |0.857503973 |0.990379476 |0.994146732 |0.999293988 |0.999550936 | 1
| 27 |0 |0 | 0 | 0 |0.826276587 |0.826276587 |0.849805344 |0.990140855 |0.994146732 |0.999250664 |0.999522191 | 1
| 28 |0 |0 | 0 | 0 |0.817753191 |0.817753191 |0.841035999 |0.989869083 |0.994146732 |0.999201255 |0.999489409 | 1
| 29 |0 |0 | 0 | 0 |0.80805747  |0.80805747  |0.831060577 |0.989559983 |0.994146732 |0.999144972 |0.999452066 | 1
| 30 |0 |0 | 0 | 0 |0.797045393 |0.797045393 |0.819730926 |0.989208984 |0.994146732 |0.999080949 |0.999409587 | 1
| 31 |0 |0 | 0 | 0 |0.784560714 |0.784560714 |0.806886334 |0.988811132 |0.994146732 |0.999008235 |0.999361341 | 1
| 32 |0 |0 | 0 | 0 |0.770435788 |0.770435788 |0.792354374 |0.98836112  |0.994146732 |0.998925802 |0.999306648 | 1
| 33 |0 |0 | 0 | 0 |0.755297196 |0.755297196 |0.776779733 |0.987878942 |0.994146732 |0.998837259 |0.9992479   | 1
| 34 |0 |0 | 0 | 0 |0.739853835 |0.739853835 |0.760891752 |0.987387196 |0.994146732 |0.998746725 |0.999187832 | 1
| 35 |0 |0 | 0 | 0 |0.724112384 |0.724112384 |0.744697318 |0.986886102 |0.994146732 |0.998654225 |0.999126459 | 1
| 36 |0 |0 | 0 | 0 |0.708080684 |0.708080684 |0.72820451  |0.98637592  |0.994146732 |0.998559792 |0.999063803 | 1
| 37 |0 |0 | 0 | 0 |0.691767788 |0.691767788 |0.711422655 |0.985856946 |0.994146732 |0.998463466 |0.998999892 | 1
| 38 |0 |0 | 0 | 0 |0.675184018 |0.675184018 |0.694362382 |0.985329517 |0.994146732 |0.998365296 |0.998934757 | 1
| 39 |0 |0 | 0 | 0 |0.658341011 |0.658341011 |0.677035678 |0.984794012 |0.994146732 |0.998265338 |0.998868436 | 1
| 40 |0 |0 | 0 | 0 |0.641251767 |0.641251767 |0.659455928 |0.984250852 |0.994146732 |0.998163656 |0.998800971 | 1
| 41 |0 |0 | 0 | 0 |0.62393069  |0.62393069  |0.641637962 |0.983700504 |0.994146732 |0.998060324 |0.99873241  | 1
| 42 |0 |0 | 0 | 0 |0.606393624 |0.606393624 |0.62359809  |0.983143477 |0.994146732 |0.997955424 |0.99866281  | 1
| 43 |0 |0 | 0 | 0 |0.58865788  |0.58865788  |0.60535413  |0.982580331 |0.994146732 |0.997849049 |0.998592231 | 1
| 44 |0 |0 | 0 | 0 |0.570742261 |0.570742261 |0.586925435 |0.982011667 |0.994146732 |0.997741301 |0.998520742 | 1
| 45 |0 |0 | 0 | 0 |0.552667072 |0.552667072 |0.5683329   |0.981438139 |0.994146732 |0.997632294 |0.998448416 | 1
| 46 |0 |0 | 0 | 0 |0.534454123 |0.534454123 |0.549598968 |0.980860442 |0.994146732 |0.997522149 |0.998375336 | 1
| 47 |0 |0 | 0 | 0 |0.516126723 |0.516126723 |0.530747623 |0.980279322 |0.994146732 |0.997411    |0.99830159  | 1
| 48 |0 |0 | 0 | 0 |0.497709659 |0.497709659 |0.511804368 |0.979695569 |0.994146732 |0.997298991 |0.998227273 | 1
| 49 |0 |0 | 0 | 0 |0.479229162 |0.479229162 |0.492796189 |0.979110018 |0.994146732 |0.997186276 |0.998152487 | 1
| 50 |0 |0 | 0 | 0 |0.460712864 |0.460712864 |0.473751508 |0.978523547 |0.994146732 |0.997073019 |0.998077342 | 1
| 51 |0 |0 | 0 | 0 |0.442189729 |0.442189729 |0.45470012  |0.977937075 |0.994146732 |0.996959396 |0.998001954 | 1
| 52 |0 |0 | 0 | 0 |0.423689977 |0.423689977 |0.435673108 |0.977351559 |0.994146732 |0.99684559  |0.997926445 | 1
| 53 |0 |0 | 0 | 0 |0.405244989 |0.405244989 |0.416702747 |0.976767993 |0.994146732 |0.996731795 |0.997850943 | 1
| 54 |0 |0 | 0 | 0 |0.38688719  |0.38688719  |0.397822381 |0.9761874   |0.994146732 |0.996618214 |0.997775583 | 1
| 55 |0 |0 | 0 | 0 |0.368649915 |0.368649915 |0.379066293 |0.975610833 |0.994146732 |0.996505058 |0.997700505 | 1
| 56 |0 |0 | 0 | 0 |0.35056726  |0.35056726  |0.360469541 |0.975039364 |0.994146732 |0.996392542 |0.997625852 | 1
| 57 |0 |0 | 0 | 0 |0.332673909 |0.332673909 |0.342067788 |0.974474086 |0.994146732 |0.996280892 |0.997551773 | 1
| 58 |0 |0 | 0 | 0 |0.315004942 |0.315004942 |0.323897101 |0.9739161   |0.994146732 |0.996170335 |0.997478419 | 1
| 59 |0 |0 | 0 | 0 |0.297595627 |0.297595627 |0.305993738 |0.973366512 |0.994146732 |0.996061104 |0.997405945 | 1
| 60 |0 |0 | 0 | 0 |0.280481193 |0.280481193 |0.288393915 |0.972826427 |0.994146732 |0.995953432 |0.997334506 | 1
| 61 |0 |0 | 0 | 0 |0.263696584 |0.263696584 |0.271133552 |0.972296936 |0.994146732 |0.995847554 |0.997264257 | 1
| 62 |0 |0 | 0 | 0 |0.247276202 |0.247276202 |0.254248011 |0.971779114 |0.994146732 |0.995743703 |0.997195353 | 1
| 63 |0 |0 | 0 | 0 |0.231253635 |0.231253635 |0.237771813 |0.97127401  |0.994146732 |0.99564211  |0.997127946 | 1
