Dataset:     Population sizes by age, sex and region of birth for 1981.
Description: These are numbers taken from the 1981 census used to initialize
             the England and Wales model population for 1981.
Label s:     Sex, 0=male, 1=female.
Label a:     Age, in single year classes.
Label r:     Region of birth, 0=Non-UK, 1=UK

|s |a   |r1     |r0
|0 |  0 |310084 | 1973
|0 |  1 |324955 | 2586
|0 |  2 |309082 | 4970
|0 |  3 |285231 | 5855
|0 |  4 |282542 |10115
|0 |  5 |294138 | 7182
|0 |  6 |302045 | 8238
|0 |  7 |320723 | 9952
|0 |  8 |329217 |10624
|0 |  9 |342080 |11817
|0 | 10 |364807 |11822
|0 | 11 |369181 |13862
|0 | 12 |382762 |12779
|0 | 13 |392453 |15181
|0 | 14 |408711 |13706
|0 | 15 |398474 |16083
|0 | 16 |432466 |15046
|0 | 17 |411451 |19075
|0 | 18 |376059 |18947
|0 | 19 |352639 |19328
|0 | 20 |387015 |23344
|0 | 21 |345182 |28792
|0 | 22 |318048 |30187
|0 | 23 |326007 |33715
|0 | 24 |317373 |32303
|0 | 25 |298968 |30818
|0 | 26 |291420 |33435
|0 | 27 |297876 |37541
|0 | 28 |308166 |31914
|0 | 29 |306607 |34849
|0 | 30 |303447 |30994
|0 | 31 |324560 |32190
|0 | 32 |323300 |27854
|0 | 33 |367376 |26359
|0 | 34 |379912 |31007
|0 | 35 |301914 |26253
|0 | 36 |297635 |29744
|0 | 37 |306159 |27388
|0 | 38 |303620 |20413
|0 | 39 |251340 |25184
|0 | 40 |246706 |32895
|0 | 41 |253288 |30174
|0 | 42 |263906 |25108
|0 | 43 |247119 |21493
|0 | 44 |253980 |29798
|0 | 45 |259278 |27989
|0 | 46 |245991 |25093
|0 | 47 |227245 |28135
|0 | 48 |249958 |22636
|0 | 49 |247780 |22129
|0 | 50 |258301 |27480
|0 | 51 |261853 |23834
|0 | 52 |247146 |22838
|0 | 53 |250934 |18168
|0 | 54 |242877 |24754
|0 | 55 |252800 |30311
|0 | 56 |244366 |25014
|0 | 57 |258739 |24704
|0 | 58 |236070 |27868
|0 | 59 |275398 |22424
|0 | 60 |278437 |21877
|0 | 61 |284535 |22513
|0 | 62 |194781 |13861
|0 | 63 |175165 |11784
|0 | 64 |195376 |14363
|0 | 65 |201496 |13576
|0 | 66 |225009 |13475
|0 | 67 |216597 |14452
|0 | 68 |196200 |10666
|0 | 69 |208586 |10101
|0 | 70 |192375 | 6762
|0 | 71 |186957 | 8357
|0 | 72 |167236 | 6340
|0 | 73 |150866 | 6740
|0 | 74 |150006 | 5034
|0 | 75 |128789 | 3468
|0 | 76 |120993 | 4170
|0 | 77 |104474 | 3008
|0 | 78 | 86429 | 3433
|0 | 79 | 90546 | 3599
|0 | 80 | 66190 | 3391
|0 | 81 | 63697 | 2555
|0 | 82 | 44383 | 2180
|0 | 83 | 35038 | 1465
|0 | 84 | 26932 |  230
|0 | 85 | 23712 |    0
|0 | 86 | 19303 |  473
|0 | 87 | 15701 | 1088
|0 | 88 | 14347 |    0
|0 | 89 |  9195 |  252
|0 | 90 |  7154 |  519
|0 | 91 |  5881 |  279
|0 | 92 |  2493 |  279
|0 | 93 |  3280 |    0
|0 | 94 |  2286 |    0
|0 | 95 |  1578 |    0
|0 | 96 |  1087 |    0
|0 | 97 |   473 |    0
|0 | 98 |  1255 |    0
|0 | 99 |   252 |    0
|0 |100 |     0 |    0
|0 |101 |     0 |    0
|0 |102 |     0 |    0
|0 |103 |     0 |    0
|0 |104 |     0 |    0
|0 |105 |     0 |    0
|0 |106 |     0 |    0
|0 |107 |     0 |    0
