Dataset:     Proportion of pulmonary cases which are smear-positive
             by age, for use in array 'smear[a]'.
Description: Data from Norway, see Vynnycky 1996.
Label a:     Integer age.
Label z:     Proportions of pulmonary cases which are smear-positive.
|a   |z
|0   |0.100
|1   |0.100
|2   |0.100
|3   |0.100
|4   |0.100
|5   |0.100
|6   |0.100
|7   |0.100
|8   |0.100
|9   |0.100
|10  |0.100
|11  |0.155
|12  |0.210
|13  |0.265
|14  |0.320
|15  |0.375
|16  |0.430
|17  |0.485
|18  |0.540
|19  |0.595
|20  |0.650
|21  |0.654
|22  |0.657
|23  |0.661
|24  |0.664
|25  |0.668
|26  |0.671
|27  |0.675
|28  |0.679
|29  |0.682
|30  |0.686
|31  |0.689
|32  |0.693
|33  |0.696
|34  |0.700
|35  |0.704
|36  |0.707
|37  |0.711
|38  |0.714
|39  |0.718
|40  |0.721
|41  |0.725
|42  |0.729
|43  |0.732
|44  |0.736
|45  |0.739
|46  |0.743
|47  |0.746
|48  |0.750
|49  |0.754
|50  |0.757
|51  |0.761
|52  |0.764
|53  |0.768
|54  |0.771
|55  |0.775
|56  |0.779
|57  |0.782
|58  |0.786
|59  |0.789
|60  |0.793
|61  |0.796
|62  |0.800
|63  |0.804
|64  |0.807
|65  |0.811
|66  |0.814
|67  |0.818
|68  |0.821
|69  |0.825
|70  |0.829
|71  |0.832
|72  |0.836
|73  |0.839
|74  |0.843
|75  |0.846
|76  |0.850
|77  |0.854
|78  |0.857
|79  |0.861
|80  |0.864
|81  |0.868
|82  |0.871
|83  |0.875
|84  |0.879
|85  |0.882
|86  |0.886
|87  |0.889
|88  |0.893
|89  |0.896
|90  |0.900
|91  |0.900
|92  |0.900
|93  |0.900
|94  |0.900
|95  |0.900
|96  |0.900
|97  |0.900
|98  |0.900
|99  |0.900
|100 |0.900
|101 |0.900
|102 |0.900
|103 |0.900
|104 |0.900
|105 |0.900
|106 |0.900
|107 |0.900
|108 |0.900
|109 |0.900
|110 |0.900
|111 |0.900
|112 |0.900
|113 |0.900
|114 |0.900
|115 |0.900
|116 |0.900
|117 |0.900
|118 |0.900
|119 |0.900
|120 |0.900
