Dataset:     Probability 1981 non-UK-born immigrants are Sub-Saharan African.
Description: These are age- and sex- stratified probabilities of being
             born in Sub-Saharan Africa, for persons in the UK in 1981 who
             were born outside the UK.

Label a:     Age, by single year age classes 0-120.
Label s:     Sex, 0=male and 1=female.

|a   |s0    |s1
|  0 |.1308 |.1935
|  1 |.0998 |.1070
|  2 |.0978 |.1474
|  3 |.0840 |.0723
|  4 |.0461 |.1529
|  5 |.1275 |.0272
|  6 |.1606 |.0000
|  7 |.2052 |.1873
|  8 |.0841 |.1766
|  9 |.1316 |.1749
| 10 |.2554 |.1617
| 11 |.1693 |.2931
| 12 |.2758 |.1696
| 13 |.1383 |.1340
| 14 |.2200 |.2335
| 15 |.2571 |.3455
| 16 |.2222 |.3172
| 17 |.2422 |.2624
| 18 |.3122 |.3012
| 19 |.1825 |.2134
| 20 |.2020 |.2006
| 21 |.2182 |.2353
| 22 |.2306 |.1992
| 23 |.1632 |.1575
| 24 |.2194 |.1739
| 25 |.1700 |.2331
| 26 |.2051 |.1997
| 27 |.1614 |.1339
| 28 |.2456 |.1615
| 29 |.2001 |.1341
| 30 |.1396 |.1730
| 31 |.1937 |.1416
| 32 |.1571 |.1196
| 33 |.1477 |.1225
| 34 |.0668 |.1174
| 35 |.0989 |.0799
| 36 |.1332 |.0985
| 37 |.1730 |.0794
| 38 |.1012 |.1585
| 39 |.0827 |.0956
| 40 |.0748 |.1011
| 41 |.1034 |.0921
| 42 |.1084 |.1013
| 43 |.1215 |.0452
| 44 |.0753 |.0657
| 45 |.0278 |.0388
| 46 |.0636 |.0692
| 47 |.0456 |.0533
| 48 |.0951 |.0128
| 49 |.0497 |.0249
| 50 |.0376 |.0000
| 51 |.0952 |.0511
| 52 |.0427 |.0574
| 53 |.0554 |.0452
| 54 |.0426 |.0218
| 55 |.0374 |.0321
| 56 |.0423 |.0141
| 57 |.0000 |.0386
| 58 |.0299 |.0493
| 59 |.0129 |.0705
| 60 |.0260 |.0379
| 61 |.0217 |.0424
| 62 |.0410 |.0344
| 63 |.0676 |.0000
| 64 |.0185 |.0507
| 65 |.0376 |.0226
| 66 |.0000 |.0535
| 67 |.0188 |.0000
| 68 |.0000 |.0619
| 69 |.0487 |.0449
| 70 |.0386 |.0241
| 71 |.0000 |.0886
| 72 |.0000 |.0250
| 73 |.0000 |.0360
| 74 |.0000 |.0000
| 75 |.0718 |.1303
| 76 |.0597 |.0000
| 77 |.0000 |.0000
| 78 |.0000 |.0530
| 79 |.0692 |.0000
| 80 |.0000 |.0935
| 81 |.0000 |.0403
| 82 |.0000 |.0000
| 83 |.0000 |.0973
| 84 |.0000 |.0000
| 85 |.0000 |.1187
| 86 |.0000 |.0000
| 87 |.0000 |.2250
| 88 |.0000 |.0000
| 89 |.0000 |.0000
| 90 |.0000 |.0000
| 91 |.0000 |.0000
| 92 |.0000 |.0000
| 93 |.0000 |.0000
| 94 |.0000 |.0000
| 95 |.0000 |.0000
| 96 |.0000 |.0000
| 97 |.0000 |.0000
| 98 |.0000 |.0000
| 99 |.0000 |.0000
|100 |.0000 |.0000
|101 |.0000 |.0000
|102 |.0000 |.0000
|103 |.0000 |.0000
|104 |.0000 |.0000
|105 |.0000 |.0000
|106 |.0000 |.0000
|107 |.0000 |.0000
|108 |.0000 |.0000
|109 |.0000 |.0000
|110 |.0000 |.0000
|111 |.0000 |.0000
|112 |.0000 |.0000
|113 |.0000 |.0000
|114 |.0000 |.0000
|115 |.0000 |.0000
|116 |.0000 |.0000
|117 |.0000 |.0000
|118 |.0000 |.0000
|119 |.0000 |.0000
|120 |.0000 |.0000
