|y |a |r |s0          |s1
|0 |0 |1 |3.023932701 |3.02260629
|0 |1 |1 |4.481943171 |3.976018679
|0 |2 |1 |5.955786744 |3.152642642
|0 |3 |1 |13.26327417 |6.843814026
|1 |0 |1 |2.434645646 |2.957328801
|1 |1 |1 |4.903896279 |3.981311386
|1 |2 |1 |6.501474101 |3.197683351
|1 |3 |1 |12.15852607 |6.184312144
|2 |0 |1 |2.91520634  |3.226992269
|2 |1 |1 |5.204785661 |4.453794826
|2 |2 |1 |5.521479266 |2.850284366
|2 |3 |1 |12.2248443  |6.987058766
|3 |0 |1 |2.859970201 |2.767763268
|3 |1 |1 |4.704959903 |3.97786918
|3 |2 |1 |5.876003713 |2.458880309
|3 |3 |1 |10.57645431 |5.946829075
|4 |0 |1 |2.289011313 |2.152409205
|4 |1 |1 |4.584048133 |3.801788355
|4 |2 |1 |5.220587734 |2.453128651
|4 |3 |1 |9.9171165   |5.237953214
|5 |0 |1 |2.834470504 |3.463091521
|5 |1 |1 |4.853866888 |3.701147955
|5 |2 |1 |5.413838509 |2.308908671
|5 |3 |1 |9.493676244 |4.873922856
|6 |0 |1 |3.075712648 |2.902636838
|6 |1 |1 |5.412551468 |3.984906183
|6 |2 |1 |5.288704578 |2.054682702
|6 |3 |1 |9.036515876 |4.629780019
|7 |0 |1 |2.165160104 |3.107509714
|7 |1 |1 |5.19964456  |4.145043247
|7 |2 |1 |4.842168807 |2.491064001
|7 |3 |1 |8.659189327 |4.107429197
|8 |0 |1 |3.488689857 |3.613310622
|8 |1 |1 |5.218619994 |4.427543892
|8 |2 |1 |4.557295579 |2.159942763
|8 |3 |1 |7.719622881 |4.07669363
|9 |0 |1 |3.026708721 |4.182510838
|9 |1 |1 |5.454976673 |4.789110856
|9 |2 |1 |4.641536439 |2.356540014
|9 |3 |1 |7.40689583  |4.059207216
|10|0 |1 |3.048902211 |3.296668796
|10|1 |1 |5.701486305 |4.677290326
|10|2 |1 |5.588852857 |2.513674773
|10|3 |1 |7.709898619 |4.616098263

|0 |0 |0 |29.94665593 |36.58571924
|0 |1 |0 |112.9548407 |94.3338713
|0 |2 |0 |72.24978459 |63.64130174
|0 |3 |0 |84.65823655 |66.80373714
|1 |0 |0 |31.32592232 |49.09521468
|1 |1 |0 |131.9328123 |97.3591614
|1 |2 |0 |71.94478677 |72.56483507
|1 |3 |0 |89.02459255 |77.73953825
|2 |0 |0 |38.05079022 |47.92139479
|2 |1 |0 |132.9549512 |94.5105456
|2 |2 |0 |76.63909778 |71.75940381
|2 |3 |0 |79.76908533 |67.40043111
|3 |0 |0 |36.75619597 |64.02259225
|3 |1 |0 |145.0545102 |117.2376457
|3 |2 |0 |68.11921551 |68.17264973
|3 |3 |0 |94.9055241  |78.0027603
|4 |0 |0 |37.43715491 |39.13524114
|4 |1 |0 |154.1170394 |116.6296615
|4 |2 |0 |82.13234068 |66.26885354
|4 |3 |0 |86.87905707 |65.25502688
|5 |0 |0 |40.62327907 |44.80485821
|5 |1 |0 |160.7075604 |124.8974406
|5 |2 |0 |78.36036848 |68.33724406
|5 |3 |0 |95.41081746 |75.71932387
|6 |0 |0 |38.1763342  |48.7093907
|6 |1 |0 |165.7767865 |131.3219727
|6 |2 |0 |83.54066382 |72.38288146
|6 |3 |0 |108.3826215 |85.0022039
|7 |0 |0 |26.65998255 |40.8082265
|7 |1 |0 |148.0665953 |122.8912781
|7 |2 |0 |81.36799812 |74.10434749
|7 |3 |0 |98.60596548 |78.28475163
|8 |0 |0 |29.56328384 |42.79843566
|8 |1 |0 |136.0191471 |107.8725322
|8 |2 |0 |84.07471976 |67.41475241
|8 |3 |0 |96.86164862 |79.62056855
|9 |0 |0 |39.43683513 |37.4083928
|9 |1 |0 |131.6344549 |111.7493848
|9 |2 |0 |87.2680932  |70.56248143
|9 |3 |0 |93.02542937 |74.91418415
|10|0 |0 |22.80307369 |33.47632962
|10|1 |0 |134.7128709 |108.1202424
|10|2 |0 |89.9202003  |77.79253155
|10|3 |0 |109.868519  |74.75130931
