Dataset:     Calibration targets (observed notification rates for England and Wales).
Description: These are notifications rates for the SSA version of the model,
             with a separate group for SSAs.
Label y:     Year, relative to 1999.
Label a:     Age class, 0=0-14, 1=15-44, 2=45-64, 3=65+
Label r:     Region of birth, 0=Non-UK (non SSA), 1=UK, 2=SSA
Label s:     Sex, 0=male, 1=female.

|y |a |r |s0          |s1
|0 |0 |1 |3.023932701 |3.02260629
|0 |1 |1 |4.481943171 |3.976018679
|0 |2 |1 |5.955786744 |3.152642642
|0 |3 |1 |13.26327417 |6.843814026
|1 |0 |1 |2.434645646 |2.957328801
|1 |1 |1 |4.903896279 |3.981311386
|1 |2 |1 |6.501474101 |3.197683351
|1 |3 |1 |12.15852607 |6.184312144
|2 |0 |1 |2.91520634  |3.226992269
|2 |1 |1 |5.204785661 |4.453794826
|2 |2 |1 |5.521479266 |2.850284366
|2 |3 |1 |12.2248443  |6.987058766
|3 |0 |1 |2.859970201 |2.767763268
|3 |1 |1 |4.704959903 |3.97786918
|3 |2 |1 |5.876003713 |2.458880309
|3 |3 |1 |10.57645431 |5.946829075
|4 |0 |1 |2.289011313 |2.152409205
|4 |1 |1 |4.584048133 |3.801788355
|4 |2 |1 |5.220587734 |2.453128651
|4 |3 |1 |9.9171165   |5.237953214
|5 |0 |1 |2.834470504 |3.463091521
|5 |1 |1 |4.853866888 |3.701147955
|5 |2 |1 |5.413838509 |2.308908671
|5 |3 |1 |9.493676244 |4.873922856
|6 |0 |1 |3.075712648 |2.902636838
|6 |1 |1 |5.412551468 |3.984906183
|6 |2 |1 |5.288704578 |2.054682702
|6 |3 |1 |9.036515876 |4.629780019
|7 |0 |1 |2.165160104 |3.107509714
|7 |1 |1 |5.19964456  |4.145043247
|7 |2 |1 |4.842168807 |2.491064001
|7 |3 |1 |8.659189327 |4.107429197
|8 |0 |1 |3.488689857 |3.613310622
|8 |1 |1 |5.218619994 |4.427543892
|8 |2 |1 |4.557295579 |2.159942763
|8 |3 |1 |7.719622881 |4.07669363
|9 |0 |1 |3.026708721 |4.182510838
|9 |1 |1 |5.454976673 |4.789110856
|9 |2 |1 |4.641536439 |2.356540014
|9 |3 |1 |7.40689583  |4.059207216
|10|0 |1 |3.048902211 |3.296668796
|10|1 |1 |5.701486305 |4.677290326
|10|2 |1 |5.588852857 |2.513674773
|10|3 |1 |7.709898619 |4.616098263

|0 |0 |0 |20.51971996 |27.73995734
|0 |1 |0 |96.94117507 |77.18337502
|0 |2 |0 |69.65455563 |58.67618753
|0 |3 |0 |83.06314326 |63.67875963
|1 |0 |0 |25.56615319 |30.39899016
|1 |1 |0 |104.8781725 |74.22282112
|1 |2 |0 |71.30366807 |66.4596999
|1 |3 |0 |88.31642929 |73.80980762
|2 |0 |0 |21.94811596 |25.76278076
|2 |1 |0 |110.4507574 |73.50583426
|2 |2 |0 |69.65196017 |66.68204267
|2 |3 |0 |80.0098383  |66.69174421
|3 |0 |0 |24.35223981 |31.33697557
|3 |1 |0 |110.7537371 |82.63738795
|3 |2 |0 |61.0478407  |64.96463655
|3 |3 |0 |94.72864732 |73.21850893
|4 |0 |0 |19.65760638 |16.24994779
|4 |1 |0 |116.6851735 |80.60739072
|4 |2 |0 |74.44788532 |57.7791004
|4 |3 |0 |81.87619637 |63.21143319
|5 |0 |0 |27.24035011 |28.82177021
|5 |1 |0 |124.7103596 |81.29275612
|5 |2 |0 |68.55880151 |56.26930911
|5 |3 |0 |94.98006197 |71.02642027
|6 |0 |0 |23.25884889 |22.62440091
|6 |1 |0 |132.7951884 |88.44092526
|6 |2 |0 |77.70914784 |61.58206859
|6 |3 |0 |104.4316362 |79.35773464
|7 |0 |0 |16.45524567 |23.00380747
|7 |1 |0 |112.7432602 |86.31178136
|7 |2 |0 |79.40596595 |65.01659931
|7 |3 |0 |95.38988861 |73.52549031
|8 |0 |0 |18.96954226 |28.74556095
|8 |1 |0 |109.6465015 |78.67907355
|8 |2 |0 |79.41794348 |62.26166914
|8 |3 |0 |97.90801625 |73.92518981
|9 |0 |0 |26.76212875 |25.06660064
|9 |1 |0 |107.8022318 |84.59571177
|9 |2 |0 |85.56817894 |66.08390209
|9 |3 |0 |95.7266136  |67.04379303
|10|0 |0 |14.44366651 |19.85357244
|10|1 |0 |112.2679753 |86.32410676
|10|2 |0 |87.70151445 |77.21027931
|10|3 |0 |111.0048541 |67.75765216

|0 |0 |2 |81.30759035 |82.78113541
|0 |1 |2 |182.384953  |168.2151267
|0 |2 |2 |89.19127906 |107.0105245
|0 |3 |2 |114.6294052 |147.2610022
|1 |0 |2 |57.01610906 |127.5292519
|1 |1 |2 |278.653995  |198.9762592
|1 |2 |2 |75.72285512 |116.7803685
|1 |3 |2 |100.0240003 |138.7758718
|2 |0 |2 |129.6436327 |156.4169798
|2 |1 |2 |224.0329861 |182.1682152
|2 |2 |2 |122.5953662 |106.5195623
|2 |3 |2 |75.02807027 |82.6503574
|3 |0 |2 |81.41575912 |210.1566924
|3 |1 |2 |289.8213705 |265.0961369
|3 |2 |2 |108.9171898 |85.98164027
|3 |3 |2 |97.895443   |162.6130578
|4 |0 |2 |123.8523177 |132.2874542
|4 |1 |2 |309.4255671 |246.2921526
|4 |2 |2 |120.2987221 |110.3096017
|4 |3 |2 |166.6387096 |99.79599366
|5 |0 |2 |96.4971874  |104.7914454
|5 |1 |2 |300.5422008 |290.4649611
|5 |2 |2 |127.9306008 |132.1772013
|5 |3 |2 |101.6333684 |156.9537087
|6 |0 |2 |100.9776334 |170.8107238
|6 |1 |2 |296.3128659 |292.0925175
|6 |2 |2 |109.5978314 |125.2363129
|6 |3 |2 |148.3237679 |158.675179
|7 |0 |2 |70.1857364  |118.251692
|7 |1 |2 |302.7763847 |255.9139333
|7 |2 |2 |89.45759394 |119.4989706
|7 |3 |2 |135.4717205 |137.4043861
|8 |0 |2 |73.87644849 |121.3878033
|8 |1 |2 |263.5493666 |228.7653357
|8 |2 |2 |103.1601416 |91.92067621
|8 |3 |2 |86.43628547 |146.4497578
|9 |0 |2 |98.33944666 |80.58741831
|9 |1 |2 |249.8301211 |236.1763474
|9 |2 |2 |93.28360838 |88.3215587
|9 |3 |2 |68.80688022 |153.6576178
|10|0 |2 |65.35784865 |94.82097604
|10|1 |2 |253.7371514 |205.670382
|10|2 |2 |98.08401075 |79.6751643
|10|3 |2 |101.7862427 |165.7163552
