Dataset: ADJUSTED NUMBERS OF NOTIFICATIONS-SSA version
Description:
Label i: Year, relative to 1999.
Label a: Age class, 0=0-14, 1=15-44, 2=45-64, 3=65+ .
Label s: Sex, 0=male, 1=female.

|y  |a |r |s0          |s1
|0  |0 |1 |149.935262  |141.8618248
|0  |1 |1 |430.1989    |382.91159
|0  |2 |1 |327.55088   |174.1555735
|0  |3 |1 |409.4386    |289.4903905
|1  |0 |1 |120.0090158 |138.8339594
|1  |1 |1 |470.6235913 |382.3816679
|1  |2 |1 |358.8504884 |178.8369647
|1  |3 |1 |377.675432  |261.1960932
|2  |0 |1 |142.709058  |149.7275362
|2  |1 |1 |498.3119565 |428.1271739
|2  |2 |1 |307.6432971 |161.425
|2  |3 |1 |382.5070652 |293.6063406
|3  |0 |1 |137.8291139 |127.6613924
|3  |1 |1 |450.7689873 |380.7246835
|3  |2 |1 |329.8860759 |140.0886076
|3  |3 |1 |334.4050633 |249.6740506
|4  |0 |1 |109.2828021 |98.24413525
|4  |1 |1 |437.1312085 |360.9644071
|4  |2 |1 |296.9401391 |141.2949361
|4  |3 |1 |319.0174729 |220.7733376
|5  |0 |1 |134.9591181 |158.0009187
|5  |1 |1 |466.3221559 |352.2103813
|5  |2 |1 |309.4184658 |133.8618895
|5  |3 |1 |309.4184658 |207.3762058
|6  |0 |1 |144.7411303 |130.3775067
|6  |1 |1 |520.4051325 |378.9786846
|6  |2 |1 |304.9507783 |120.4334595
|6  |3 |1 |297.2165194 |195.56626
|7  |0 |1 |101.0773167 |138.1389994
|7  |1 |1 |493.032689  |391.9553724
|7  |2 |1 |283.0164866 |148.2467311
|7  |3 |1 |287.5088118 |172.9545196
|8  |0 |1 |162.2598025 |158.948378
|8  |1 |1 |490.0908322 |413.9280677
|8  |2 |1 |269.3291961 |130.2493653
|8  |3 |1 |259.3949224 |172.1940762
|9  |0 |1 |141.4993289 |186.1260403
|9  |1 |1 |508.3091275 |441.9132886
|9  |2 |1 |276.4679195 |143.6762416
|9  |3 |1 |253.6103356 |171.9761074
|10 |0 |1 |141.4656173 |146.9487808
|10 |1 |1 |531.8668559 |427.6867501
|10 |2 |1 |336.6662366 |154.6252097
|10 |3 |1 |268.6750097 |198.4905174
          |
|0  |0 |0 |25.37365972 |32.29374874
|0  |1 |0 |768.1298806 |681.628768
|0  |2 |0 |299.870524  |314.8640502
|0  |3 |0 |204.1426259 |192.6091442
|1  |0 |0 |29.9870524  |33.4470969
|1  |1 |0 |915.7584463 |689.7022051
|1  |2 |0 |326.3975319 |351.7711916
|1  |3 |0 |221.4428485 |219.1361521
|2  |0 |0 |29.9870524  |28.83370423
|2  |1 |0 |978.0392474 |712.7691685
|2  |2 |0 |327.55088   |346.0044507
|2  |3 |0 |217.982804  |220.2895003
|3  |0 |0 |32.29374874 |39.21383775
|3  |1 |0 |1071.460449 |837.3307708
|3  |2 |0 |287.1836941 |348.3111471
|3  |3 |0 |264.1167307 |247.9698564
|4  |0 |0 |31.14040057 |23.06696338
|4  |1 |0 |1214.475622 |854.6309933
|4  |2 |0 |336.7776654 |310.2506575
|4  |3 |0 |216.8294558 |209.9093668
|5  |0 |0 |38.06048958 |36.90714141
|5  |1 |0 |1279.06312  |880.004653
|5  |2 |0 |334.470969  |319.4774428
|5  |3 |0 |249.1232045 |216.8294558
|6  |0 |0 |36.90714141 |35.75379324
|6  |1 |0 |1464.752175 |1026.479871
|6  |2 |0 |390.9850293 |355.2312361
|6  |3 |0 |279.1102569 |271.0368197
|7  |0 |0 |28.83370423 |38.06048958
|7  |1 |0 |1437.071819 |1068.000405
|7  |2 |0 |409.4386    |388.678333
|7  |3 |0 |260.6566862 |260.6566862
|8  |0 |0 |33.4470969  |56.51406029
|8  |1 |0 |1568.55351  |1084.147279
|8  |2 |0 |422.1254299 |386.3716367
|8  |3 |0 |273.3435161 |266.4234271
|9  |0 |0 |49.59397127 |42.67388226
|9  |1 |0 |1621.607526 |1245.616023
|9  |2 |0 |471.7194012 |414.0519927
|9  |3 |0 |273.3435161 |261.8100344
|10 |0 |0 |31.14040057 |38.06048958
|10 |1 |0 |1734.635646 |1319.430305
|10 |2 |0 |497.0930609 |487.8662755
|10 |3 |0 |331.0109245 |269.8834716

|0  |0 |2 |18.45357071 |18.45357071
|0  |1 |2 |333.3176209 |344.8511026
|0  |2 |2 |58.82075663 |65.74084564
|0  |3 |2 |14.9935262  |17.30022254
|1  |0 |2 |14.9935262  |33.4470969
|1  |1 |2 |448.6524378 |420.9720817
|1  |2 |2 |58.82075663 |85.34776452
|1  |3 |2 |16.14687437 |26.52700789
|2  |0 |2 |31.14040057 |35.75379324
|2  |1 |2 |490.1729719 |423.2787781
|2  |2 |2 |87.65446085 |80.73437184
|2  |3 |2 |10.38013352 |12.68682986
|3  |0 |2 |29.9870524  |58.82075663
|3  |1 |2 |664.3285454 |628.5747522
|3  |2 |2 |88.80780902 |83.04106818
|3  |3 |2 |16.14687437 |31.14040057
|4  |0 |2 |40.36718592 |46.13392677
|4  |1 |2 |776.2033178 |725.4559984
|4  |2 |2 |109.5680761 |114.1814687
|4  |3 |2 |27.68035606 |19.60691888
|5  |0 |2 |32.29374874 |35.75379324
|5  |1 |2 |793.5035404 |828.1039854
|5  |2 |2 |123.4082541 |141.8618248
|5  |3 |2 |18.45357071 |27.68035606
|6  |0 |2 |38.06048958 |57.66740846
|6  |1 |2 |825.7972891 |904.2249646
|6  |2 |2 |123.4082541 |147.6285656
|6  |3 |2 |39.21383775 |41.52053409
|7  |0 |2 |28.83370423 |44.9805786
|7  |1 |2 |881.1580012 |870.7778677
|7  |2 |2 |111.8747724 |143.015173
|7  |3 |2 |32.29374874 |39.21383775
|8  |0 |2 |31.14040057 |42.67388226
|8  |1 |2 |779.6633623 |761.2097916
|8  |2 |2 |133.7883876 |119.9482096
|8  |3 |2 |24.22031155 |44.9805786
|9  |0 |2 |39.21383775 |39.21383775
|9  |1 |2 |757.7497471 |758.9030953
|9  |2 |2 |145.3218693 |139.5551285
|9  |3 |2 |21.91361521 |59.97410479
|10 |0 |2 |27.68035606 |40.36718592
|10 |1 |2 |739.2961764 |702.389035
|10 |2 |2 |151.0886102 |155.7020028
|10 |3 |2 |42.67388226 |50.74731944
